drug	biofeed	diet	pressure
X	Absent	No	173
X	Absent	No	194
X	Absent	No	197
X	Absent	No	190
X	Absent	No	176
X	Absent	No	198
X	Absent	Yes	164
X	Absent	Yes	190
X	Absent	Yes	169
X	Absent	Yes	164
X	Absent	Yes	176
X	Absent	Yes	175
X	Present	No	170
X	Present	No	175
X	Present	No	165
X	Present	No	180
X	Present	No	160
X	Present	No	158
X	Present	Yes	161
X	Present	Yes	173
X	Present	Yes	157
X	Present	Yes	152
X	Present	Yes	181
X	Present	Yes	190
Y	Absent	No	189
Y	Absent	No	194
Y	Absent	No	217
Y	Absent	No	206
Y	Absent	No	199
Y	Absent	No	195
Y	Absent	Yes	171
Y	Absent	Yes	173
Y	Absent	Yes	196
Y	Absent	Yes	199
Y	Absent	Yes	180
Y	Absent	Yes	203
Y	Present	No	186
Y	Present	No	194
Y	Present	No	201
Y	Present	No	215
Y	Present	No	219
Y	Present	No	209
Y	Present	Yes	164
Y	Present	Yes	166
Y	Present	Yes	159
Y	Present	Yes	182
Y	Present	Yes	187
Y	Present	Yes	174
Z	Absent	No	202
Z	Absent	No	228
Z	Absent	No	190
Z	Absent	No	206
Z	Absent	No	224
Z	Absent	No	204
Z	Absent	Yes	205
Z	Absent	Yes	199
Z	Absent	Yes	170
Z	Absent	Yes	160
Z	Absent	Yes	179
Z	Absent	Yes	179
Z	Present	No	180
Z	Present	No	187
Z	Present	No	199
Z	Present	No	170
Z	Present	No	204
Z	Present	No	194
Z	Present	Yes	162
Z	Present	Yes	184
Z	Present	Yes	183
Z	Present	Yes	156
Z	Present	Yes	180
Z	Present	Yes	173
