indiv	mean_gill_score	amoebic_load
Fish_00001	3	28.72
Fish_00002	3.5	26.47
Fish_00003	2	32.78
Fish_00004	3.25	26.9
Fish_00005	3	30.34
Fish_00007	2.5	31.36
Fish_00008	2	32.63
Fish_00009	2.5	35.73
Fish_00010	3	32.58
Fish_00012	3.5	27.81
Fish_00013	2	31.43
Fish_00014	4	26.63
Fish_00015	3	32.05
Fish_00016	2	32.3
Fish_00017	3.5	28.25
Fish_00018	2.75	32.13
Fish_00019	3.5	30.4
Fish_00020	3.25	31.25
Fish_00021	3.25	32.6
Fish_00022	3	33.41
Fish_00023	2	34.72
Fish_00024	4	26.41
Fish_00025	3.25	30.91
Fish_00026	4	28.31
Fish_00027	3	31.72
Fish_00028	3	31.21
Fish_00030	2.5	32.12
Fish_00031	4	28.18
Fish_00032	2.75	32.72
Fish_00033	2.5	31.88
Fish_00034	3	30.96
Fish_00035	3.25	27.88
Fish_00036	2	37.55
Fish_00037	3	32.89
Fish_00038	2	35.99
Fish_00039	1.25	34.7
Fish_00040	2.5	34.65
Fish_00041	2	35.29
Fish_00042	3	30.05
Fish_00043	1.5	32.27
Fish_00044	2.25	35.64
Fish_00045	2	37.94
Fish_00046	3.25	33.08
Fish_00047	2	31.81
Fish_00048	2.75	33.25
Fish_00049	2.25	36.21
Fish_00050	3	29.97
Fish_00051	3	31.23
Fish_00052	1	38.03
Fish_00053	2.25	32.09
Fish_00054	3.75	29.45
Fish_00055	0.5	36.19
Fish_00056	3.25	31.09
Fish_00057	3.25	30.07
Fish_00058	0.75	35.71
Fish_00059	1.75	34.97
Fish_00060	3	34.52
Fish_00061	3	28.81
Fish_00062	2.75	34.28
Fish_00063	3	28.87
Fish_00064	3.25	30.34
Fish_00065	2.5	29.33
Fish_00066	3	28.79
Fish_00067	1.75	33.2
Fish_00069	2.25	33.1
Fish_00070	2.25	33.4
Fish_00071	1	38.03
Fish_00072	3.25	27.32
Fish_00073	1.25	34.52
Fish_00074	2.25	32.65
Fish_00075	2.5	36.57
Fish_00076	2.25	33.17
Fish_00077	1.5	36.8
Fish_00078	2.75	31.33
Fish_00079	1.5	32.16
Fish_00080	1.75	35.06
Fish_00081	2.75	33.68
Fish_00082	2.75	33.43
Fish_00083	2.5	36.01
Fish_00084	3.25	26.78
Fish_00085	3.5	29
Fish_00086	3.5	31.83
Fish_00087	3.25	31.01
Fish_00088	1	39.42
Fish_00089	2	33.84
Fish_00091	0.5	39.95
Fish_00092	3	32.46
Fish_00093	2.75	30.5
Fish_00094	2	33.14
Fish_00095	3.25	29.65
Fish_00096	2.5	32.59
Fish_00097	3.5	32.11
Fish_00099	2.5	29.97
Fish_00100	2.75	30.69
Fish_00101	3.25	31.03
Fish_00102	2.75	32.74
Fish_00103	2.75	31.54
Fish_00104	4	26.4
Fish_00105	2.25	31.2
Fish_00106	2.75	32.68
Fish_00107	3.5	29.54
Fish_00108	1.25	35.53
Fish_00109	3.25	30.25
Fish_00110	3	32.76
Fish_00111	2	36.85
Fish_00112	3	30.15
Fish_00113	3.25	30.09
Fish_00114	1.5	38.76
Fish_00116	2.75	29.94
Fish_00117	3.25	30.64
Fish_00118	3.25	26.14
Fish_00119	3.75	26.83
Fish_00120	2	32.33
Fish_00121	2.25	34.29
Fish_00122	3.25	32.82
Fish_00123	3.25	29.56
Fish_00124	3.25	32.99
Fish_00125	1.5	34.53
Fish_00126	1.5	38.98
Fish_00127	2	36.23
Fish_00128	3	30.9
Fish_00129	2.5	30.02
Fish_00130	2.25	31.69
Fish_00131	3.25	27.41
Fish_00132	1.5	32.04
Fish_00133	4	27.52
Fish_00134	2.25	30.01
Fish_00135	3	32.52
Fish_00136	2.75	27.5
Fish_00137	4	28.64
Fish_00138	3.5	28.8
Fish_00139	3	31.48
Fish_00140	3	28.55
Fish_00141	1.5	32.54
Fish_00142	3.75	28.85
Fish_00143	2	32.34
Fish_00144	3.5	30.38
Fish_00145	4	28.21
Fish_00146	4.75	25.98
Fish_00147	2	32.63
Fish_00148	3.5	29.48
Fish_00149	4	26.3
Fish_00150	3	31.12
Fish_00151	3	33.94
Fish_00152	4	26.72
Fish_00153	4.75	25.42
Fish_00154	4.75	25.45
Fish_00155	4	27.43
Fish_00156	3	30.03
Fish_00157	3	32.01
Fish_00158	2.5	35.69
Fish_00159	2.5	29.85
Fish_00160	2	33.06
Fish_00161	2.75	32
Fish_00162	3	31.37
Fish_00163	3	27.76
Fish_00164	2.75	29.08
Fish_00165	3.25	28.63
Fish_00166	3	30.62
Fish_00167	3	32.65
Fish_00168	3	29.75
Fish_00169	3.25	29.42
Fish_00170	3.5	29.22
Fish_00171	3.25	29.52
Fish_00172	2.5	33.13
Fish_00173	2.25	35.16
Fish_00174	2.75	33.35
Fish_00175	3.75	29.36
Fish_00176	3.5	29.04
Fish_00177	1.75	38.79
Fish_00178	2	36.62
Fish_00179	1.75	36.63
Fish_00181	3.5	30.49
Fish_00182	3	29.92
Fish_00183	3	28.71
Fish_00184	3.25	28.68
Fish_00185	1.5	33.3
Fish_00186	3.25	29.93
Fish_00187	3	27.74
Fish_00188	3.25	30.9
Fish_00189	3.5	30.33
Fish_00190	2	30.37
Fish_00191	2	31.82
Fish_00193	3.75	30.04
Fish_00194	4	28.25
Fish_00195	2	36.78
Fish_00196	2.5	31.49
Fish_00197	3.25	32.81
Fish_00198	3.25	27.35
Fish_00199	4	27.75
Fish_00200	3	30.91
Fish_00201	3.75	28.64
Fish_00202	3.5	30.13
Fish_00203	1	37.39
Fish_00204	3.75	28.75
Fish_00205	1.5	35.4
Fish_00208	3.25	30.98
Fish_00209	3	32.85
Fish_00211	2.75	31.49
Fish_00212	1.5	33.23
Fish_00213	3	29.17
Fish_00214	2.5	28.76
Fish_00215	3	32.11
Fish_00216	3	30.05
Fish_00217	2.75	31.69
Fish_00218	1.5	35.4
Fish_00219	3.25	27.55
Fish_00220	0.5	38.4
Fish_00221	1	40.01
Fish_00222	3	28.54
Fish_00223	2.25	37.13
Fish_00224	3	31.27
Fish_00225	1.75	35.03
Fish_00226	2.5	31.53
Fish_00227	2.5	34.31
Fish_00228	3	31.02
Fish_00229	2.25	35.71
Fish_00230	3	32.99
Fish_00231	3.5	29.18
Fish_00232	1	36.77
Fish_00234	3	31.97
Fish_00235	2.75	29.03
Fish_00236	2.75	33.33
Fish_00237	2.75	31.17
Fish_00238	0.75	37.47
Fish_00239	3	29.25
Fish_00240	3	31.94
Fish_00241	2	36.39
Fish_00242	3.5	28.99
Fish_00243	0.75	39.36
Fish_00244	2	32.29
Fish_00245	1.25	32.68
Fish_00246	3	31.99
Fish_00247	3	29.04
Fish_00248	4	28.28
Fish_00249	3	30.56
Fish_00250	4	26.48
Fish_00251	3.25	29.66
Fish_00252	3.75	29.99
Fish_00254	4	25.3
Fish_00255	2	34.82
Fish_00257	3	29.12
Fish_00258	3	28.99
Fish_00259	3.75	26.41
Fish_00260	3.25	29.46
Fish_00261	3.5	31.14
Fish_00262	3.75	25.73
Fish_00263	3	32.55
Fish_00264	4.75	25.42
Fish_00266	3	29.19
Fish_00267	2.5	31.28
Fish_00268	3.25	29.35
Fish_00269	3.5	28.59
Fish_00270	3.75	26.92
Fish_00272	3.75	27.14
Fish_00273	3	29.99
Fish_00274	2	33.87
Fish_00275	4	28.17
Fish_00276	3	27.83
Fish_00277	3.5	28.21
Fish_00278	3	31.07
Fish_00279	3.25	29.91
Fish_00280	3.5	28.95
Fish_00282	3.25	29.16
Fish_00283	2.25	36.14
Fish_00284	2.75	34.52
Fish_00285	3.5	30.53
Fish_00286	2.75	31.11
Fish_00288	4	26.17
Fish_00289	3.5	29.12
Fish_00290	4	29.39
Fish_00291	2.25	32.13
Fish_00292	3	29.85
Fish_00293	2.5	31.39
Fish_00294	3	33.27
Fish_00295	3	29.36
Fish_00296	3.25	30.02
Fish_00298	3.25	29.78
Fish_00299	2.25	38.4
Fish_00300	2.5	32.08
Fish_00302	3	29.9
Fish_00304	3.25	27.41
Fish_00305	3	30.88
Fish_00306	2.25	33.64
Fish_00307	3	30.06
Fish_00308	3	30.24
Fish_00309	3	31.83
Fish_00310	3.5	30.77
Fish_00311	2.5	30.31
Fish_00312	2.5	34.28
Fish_00313	1.5	33.25
Fish_00314	2.5	28.13
Fish_00315	2.25	31.87
Fish_00316	2.75	32.1
Fish_00317	2	31.89
Fish_00318	3.25	28.63
Fish_00319	2	35.85
Fish_00320	3.25	30.84
Fish_00321	2.25	32.03
Fish_00322	3.25	32.17
Fish_00323	3.75	28.81
Fish_00324	3.75	28.44
Fish_00325	2.75	31.19
Fish_00326	2	32.28
Fish_00327	2.5	32.66
Fish_00328	2.5	31.59
Fish_00329	3.5	26.4
Fish_00330	2.75	34.81
Fish_00331	2.25	32.8
Fish_00332	3.75	27.09
Fish_00334	1	34.77
Fish_00335	3.25	29.76
Fish_00336	2.25	33.04
Fish_00338	1.5	30.75
Fish_00339	3.25	29.13
Fish_00344	3.5	27.28
Fish_00346	3.5	27.35
Fish_00347	3.75	27.44
Fish_00348	3.5	29.57
Fish_00349	3	31.8
Fish_00352	3	33.47
Fish_00354	2	32.69
Fish_00355	3.25	28.02
Fish_00356	3.25	29.11
Fish_00357	2.25	32.68
Fish_00358	3	29.51
Fish_00359	2.75	31.05
Fish_00360	2	36.74
Fish_00361	3.75	27.67
Fish_00362	3.25	29.47
Fish_00363	3.25	29.16
Fish_00364	4	28.24
Fish_00365	3.25	28.84
Fish_00366	4	27.65
Fish_00367	2.75	30.9
Fish_00370	4	28.35
Fish_00371	3	31.9
Fish_00372	3	28.83
Fish_00373	2	34.34
Fish_00374	3.25	29.01
Fish_00375	3	30.57
Fish_00376	3	31.53
Fish_00377	2.5	30.43
Fish_00378	3	30.64
Fish_00379	2	37.67
Fish_00381	2	29.76
Fish_00382	2.5	34.19
Fish_00383	2	36.2
Fish_00386	2.75	32.88
Fish_00387	4	27.76
