ID	lines	rep	column	row	height	trial
2	201157_A	1	2	55	83	10
6	201157_A	5	8	394	84	10
7	201157_A	4	5	317	84	10
9	201157_A	2	3	111	85	10
10	201157_A	3	1	238	76	10
13	AAPO	5	1	350	88	10
15	AAPO	3	2	199	76	10
16	AAPO	4	6	247	68	10
17	AAPO	1	4	30	86	10
19	AAPO	2	5	154	85	10
22	ABACUS	5	4	402	113	10
25	ABACUS	4	6	316	122	10
26	ABACUS	1	3	45	109	10
27	ABACUS	3	8	242	99	10
29	ABACUS	2	2	86	112	10
31	ABAVA	5	5	326	115	10
33	ABAVA	1	2	6	99	10
34	ABAVA	3	4	223	108	10
35	ABAVA	4	7	304	115	10
39	ABAVA	2	8	97	110	10
41	ACAPELLA	2	6	88	79	10
43	ACAPELLA	5	1	335	86	10
44	ACAPELLA	1	4	15	85	10
49	ACAPELLA	3	7	214	76	10
50	ACAPELLA	4	3	313	82	10
51	ACROBAT	3	8	184	79	10
52	ACROBAT	5	2	326	92	10
53	ACROBAT	1	7	54	88	10
58	ACROBAT	2	1	119	97	10
59	ACROBAT	4	5	297	82	10
61	ADONIS	5	7	377	99	10
63	ADONIS	2	6	104	97	10
64	ADONIS	3	8	210	93	10
66	ADONIS	4	4	249	95	10
70	ADONIS	1	3	52	97	10
71	AGENDA	1	2	41	84	10
72	AGENDA	4	4	312	96	10
73	AGENDA	2	7	90	89	10
75	AGENDA	5	5	398	98	10
77	AGENDA	3	3	165	91	10
81	AKCENT	3	5	204	88	10
82	AKCENT	5	8	389	NA	10
83	AKCENT	1	4	3	96	10
87	AKCENT	2	3	162	90	10
89	AKCENT	4	2	310	86	10
91	AKITA	5	3	360	100	10
92	AKITA	2	7	144	88	10
94	AKITA	1	1	40	90	10
96	AKITA	4	2	257	91	10
97	AKITA	3	6	189	78	10
104	AKKA	4	2	322	118	10
105	AKKA	1	6	35	119	10
106	AKKA	5	5	379	124	10
107	AKKA	3	1	165	121	10
108	AKKA	2	3	154	121	10
111	ALABAMA	3	3	229	77	10
112	ALABAMA	5	1	364	81	10
118	ALABAMA	4	8	285	89	10
119	ALABAMA	2	6	106	92	10
120	ALABAMA	1	5	59	77	10
122	ALEXIS	2	4	136	103	10
125	ALEXIS	1	1	29	91	10
126	ALEXIS	5	5	334	105	10
128	ALEXIS	4	6	255	84	10
130	ALEXIS	3	7	178	107	10
132	ALIS	5	6	381	90	10
136	ALIS	3	7	209	103	10
138	ALIS	2	3	86	84	10
139	ALIS	4	8	305	90	10
140	ALIS	1	1	79	97	10
141	ALLIOT	2	8	150	93	10
142	ALLIOT	1	2	16	96	10
145	ALLIOT	3	6	196	86	10
148	ALLIOT	4	5	278	94	10
150	ALLIOT	5	1	356	93	10
153	ALUMINIUM	3	1	208	90	10
155	ALUMINIUM	1	4	54	91	10
157	ALUMINIUM	4	8	251	100	10
158	ALUMINIUM	2	7	102	94	10
160	ALUMINIUM	5	3	380	101	10
163	ALVA	1	7	42	NA	10
164	ALVA	5	8	405	87	10
166	ALVA	3	4	165	92	10
167	ALVA	4	6	268	88	10
170	ALVA	2	5	123	90	10
173	AMBER	3	7	216	NA	10
174	AMBER	2	8	151	NA	10
176	AMBER	1	4	22	NA	10
177	AMBER	4	5	265	NA	10
179	AMBER	5	1	374	NA	10
182	AMETYST	4	5	304	105	10
184	AMETYST	5	8	333	107	10
186	AMETYST	2	3	112	106	10
188	AMETYST	3	2	177	103	10
189	AMETYST	1	6	61	109	10
191	AMOURETTE	2	1	104	96	10
195	AMOURETTE	5	5	341	88	10
